id_user,id_event
321,66
458,103
194,97
302,79
47,115
136,49
232,107
270,48
156,108
52,52
526,71
386,33
542,37
44,40
364,73
530,109
402,95
408,106
186,110
476,67
66,17
378,58
436,88
142,47
93,28
129,104
372,18
5,30
13,111
164,57
495,14
23,113
79,5
49,32
102,86
30,119
410,112
462,43
92,21
22,53
506,36
158,87
314,61
218,81
496,120
133,116
222,15
397,55
309,26
294,23
139,1
327,51
39,101
534,8
105,76
110,63
305,102
135,19
523,118
33,64
474,85
535,56
419,89
20,62
489,100
529,98
184,60
15,78
369,68
510,44
414,11
16,59
437,27
12,12
450,2
435,70
348,84
32,90
206,77
283,41
