id_user,nom_asso,cause,is_association
421,Association pour la Protection des Animaux (APA),Education,true
422,Save the Children,Human rights,true
423,Doctors Without Borders (Médecins Sans Frontières),Education,true
424,World Wildlife Fund (WWF),Healthcare,true
425,Doctors Without Borders (Médecins Sans Frontières),Poverty alleviation,true
426,Red Cross (Croix Rouge),Elderly care,true
427,Association pour la Protection des Animaux (APA),Education,true
428,The Nature Conservancy,Education,true
429,Association pour la Protection des Animaux (APA),Arts and culture,true
430,Red Cross (Croix Rouge),Education,true
431,Doctors Without Borders (Médecins Sans Frontières),Elderly care,true
432,Amnesty International,Human rights,true
433,Association pour la Protection des Animaux (APA),Poverty alleviation,true
434,Association pour la Protection des Animaux (APA),Elderly care,true
435,The Nature Conservancy,Animal welfare,true
436,Red Cross (Croix Rouge),Environmental conservation,true
437,Save the Children,Environmental conservation,true
438,Doctors Without Borders (Médecins Sans Frontières),Education,true
439,World Wildlife Fund (WWF),Elderly care,true
440,Amnesty International,Human rights,true
441,Habitat for Humanity,Environmental conservation,true
442,The Nature Conservancy,Poverty alleviation,true
443,Greenpeace,Disaster relief,true
444,World Wildlife Fund (WWF),Healthcare,true
445,Doctors Without Borders (Médecins Sans Frontières),Disaster relief,true
446,Amnesty International,Animal welfare,true
447,Greenpeace,Healthcare,true
448,UNICEF,Community development,true
449,World Wildlife Fund (WWF),Elderly care,true
450,Greenpeace,Disaster relief,true
451,The Nature Conservancy,Community development,true
452,UNICEF,Environmental conservation,true
453,Doctors Without Borders (Médecins Sans Frontières),Elderly care,true
454,Red Cross (Croix Rouge),Environmental conservation,true
455,UNICEF,Disaster relief,true
456,The Nature Conservancy,Disaster relief,true
457,Habitat for Humanity,Arts and culture,true
458,Doctors Without Borders (Médecins Sans Frontières),Environmental conservation,true
459,World Wildlife Fund (WWF),Arts and culture,true
460,Greenpeace,Community development,true
461,World Wildlife Fund (WWF),Animal welfare,true
462,UNICEF,Healthcare,true
463,Amnesty International,Human rights,true
464,Association pour la Protection des Animaux (APA),Human rights,true
465,Association pour la Protection des Animaux (APA),Education,true
466,World Wildlife Fund (WWF),Poverty alleviation,true
467,Save the Children,Education,true
468,Save the Children,Poverty alleviation,true
469,UNICEF,Disaster relief,true
420,Doctors Without Borders (Médecins Sans Frontières),Environmental conservation,true
