id_user,id_user_1
86,69
516,134
147,94
169,5
407,144
490,26
144,74
194,139
346,145
423,32
17,143
300,1
504,42
307,147
441,113
448,93
505,71
12,48
256,6
58,92
363,56
155,144
282,24
518,83
226,80
451,123
39,37
190,46
409,76
124,63
231,110
45,138
358,139
70,57
108,35
141,122
29,39
111,127
276,14
508,18
192,80
165,35
367,39
47,98
376,33
426,32
298,57
361,73
520,99
92,98
541,111
362,32
19,56
356,95
507,107
10,50
378,94
38,21
77,120
270,66
224,13
79,20
241,22
421,63
31,49
261,41
396,120
71,19
480,119
415,33
60,13
268,149
344,52
43,76
166,14
527,6
511,49
84,109
515,68
56,7
