id_track,id_user
61,92
94,119
169,26
140,119
153,126
48,22
25,120
159,141
112,3
195,56
155,41
113,3
162,65
11,101
48,83
176,69
51,134
48,114
135,149
118,91
90,42
49,116
57,109
131,76
118,42
101,32
42,141
79,19
97,39
186,112
190,69
130,137
188,139
124,63
51,107
76,57
68,24
88,6
159,57
72,7
138,30
172,91
23,24
125,120
99,35
36,14
168,94
172,1
169,41
186,108
174,24
23,104
160,74
44,49
12,143
159,113
36,46
30,2
184,124
198,57
4,116
137,126
163,20
21,26
6,139
195,33
28,6
185,116
75,91
69,99
29,110
10,22
154,52
10,13
31,120
109,22
4,12
152,33
87,63
164,120
147,18
196,124
36,97
79,149
130,20
84,30
21,64
41,141
144,26
97,108
