id_user,id_user_1
488,101
175,175
218,239
150,156
380,437
162,371
250,286
487,68
169,135
209,360
28,323
525,91
101,197
524,506
37,470
71,550
435,217
275,549
199,231
334,200
454,503
118,134
362,488
91,344
533,185
396,148
178,73
305,474
342,325
505,199
323,366
186,489
428,399
204,14
263,341
198,363
313,107
285,385
208,43
122,277
398,112
477,223
223,524
530,326
237,23
534,397
541,249
48,453
246,287
189,169
434,391
258,486
214,104
234,210
137,33
385,491
547,172
287,439
149,358
87,487
501,110
238,176
358,279
123,133
158,425
65,204
93,405
7,66
210,266
163,413
99,388
444,20
80,380
38,418
36,321
510,518
372,32
89,343
442,499
332,241
356,255
111,356
206,369
374,419
523,96
535,359
282,527
426,401
226,74
202,234
179,427
69,386
33,545
170,509
126,256
509,4
229,376
283,315
466,525
121,398
319,534
481,50
19,331
304,39
516,191
459,511
74,69
386,196
177,56
381,273
53,8
542,163
357,2
114,547
156,183
154,407
325,260
316,45
270,522
164,90
239,436
34,307
377,515
20,161
373,434
521,294
79,27
489,53
176,61
18,480
301,383
141,280
138,364
113,332
16,46
78,174
264,205
300,357
406,495
203,469
355,82
498,317
77,403
361,390
311,477
136,145
277,259
330,541
46,462
205,348
2,84
349,211
320,216
257,475
484,29
6,44
84,19
503,3
9,168
309,51
295,298
182,310
174,305
288,246
364,507
425,533
166,47
66,207
422,304
308,147
196,546
248,463
193,34
448,247
134,269
96,225
409,449
389,235
417,245
95,296
461,209
24,301
249,75
245,149
437,411
443,219
440,362
450,319
302,81
447,115
244,421
507,108
393,190
339,59
21,393
296,459
61,125
242,521
56,373
233,52
429,308
458,542
194,290
453,457
543,406
224,510
3,318
161,224
463,194
383,516
57,215
68,467
511,186
545,523
326,465
472,67
405,479
217,415
298,412
216,265
110,333
15,460
286,536
54,57
445,384
63,70
469,170
431,430
29,268
479,184
165,173
485,292
183,127
451,146
27,324
117,281
168,512
375,88
274,262
52,485
180,264
215,370
391,35
148,85
75,181
120,230
439,122
346,195
273,543
490,113
255,440
40,189
452,483
185,339
92,154
128,519
106,361
370,422
504,537
172,282
376,309
548,28
70,103
220,267
280,65
526,164
103,285
331,490
100,464
328,131
529,271
251,283
337,37
129,432
348,60
493,203
476,38
207,119
278,97
397,233
420,270
8,408
127,377
133,387
392,136
344,426
333,450
464,117
299,228
146,367
432,99
41,452
403,441
384,124
480,347
12,41
60,252
262,446
261,382
109,312
